time,idle_node,busy_node,full_node,fra_gpu,busy_gpu,pending_job,running_job,completed_job,len_g1,len_g2,len_g4,len_g8,len_g16,len_g32,len_g64
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4686,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4686,0,0,0,0,0,0,0,1
9116,15,1,0,7,1,0,1,1,1,0,0,0,0,0,0
9116,0,0,0,0,0,0,0,1
9356,15,1,0,6,2,0,2,1,1,0,0,0,0,0,0
9356,0,0,0,0,0,0,0,1
12043,15,1,0,4,4,0,1,4,1,0,0,0,0,0,0
12043,0,0,0,0,0,0,0,4
14041,15,1,0,6,2,0,2,4,1,0,0,0,0,0,0
14041,0,0,0,0,0,0,0,4
15703,14,2,0,6,10,0,3,4,1,0,0,1,0,0,0
15703,0,0,0,0,0,0,0,4
16255,14,2,0,5,11,0,4,4,1,0,0,1,0,0,0
16255,0,0,0,0,0,0,0,4
17652,14,2,0,4,12,0,4,5,1,0,0,1,0,0,0
17652,0,0,0,0,0,0,0,5
19052,14,2,0,4,12,0,5,5,1,0,0,1,0,0,0
19052,0,0,0,0,0,0,0,5
20358,14,2,0,3,13,0,4,7,1,0,0,1,0,0,0
20358,0,0,0,0,0,0,0,7
20617,14,2,0,4,12,0,5,7,1,0,0,1,0,0,0
20617,0,0,0,0,0,0,0,7
21461,14,2,0,3,13,0,5,8,1,0,0,1,0,0,0
21461,0,0,0,0,0,0,0,8
22212,14,2,0,3,13,0,6,8,1,0,0,1,0,0,0
22212,0,0,0,0,0,0,0,8
24137,14,2,0,2,14,0,7,8,1,0,0,1,0,0,0
24137,0,0,0,0,0,0,0,8
32032,13,3,0,2,22,0,5,11,1,0,0,2,0,0,0
32032,0,0,0,0,0,0,0,11
36507,13,3,0,4,20,0,5,12,1,0,0,2,0,0,0
36507,0,0,0,0,0,0,0,12
37686,13,3,0,4,20,0,6,12,1,0,0,2,0,0,0
37686,0,0,0,0,0,0,0,12
38568,13,3,0,3,21,0,7,12,1,0,0,2,0,0,0
38568,0,0,0,0,0,0,0,12
39037,14,2,0,2,14,0,7,13,1,0,0,1,0,0,0
39037,0,0,0,0,0,0,0,13
39277,14,2,0,1,15,0,8,13,1,0,0,1,0,0,0
39277,0,0,0,0,0,0,0,13
40071,14,2,0,7,9,0,9,14,1,0,0,1,0,0,0
40071,0,0,0,0,0,0,0,14
40647,13,3,0,6,18,0,10,14,1,1,0,1,0,0,0
40647,0,0,0,0,0,0,0,14
41364,12,4,0,10,22,0,10,15,1,1,1,1,0,0,0
41364,0,0,0,0,0,0,0,15
44699,13,3,0,4,20,0,8,18,1,0,1,1,0,0,0
44699,0,0,0,0,0,0,0,18
45818,13,3,0,5,19,0,9,18,1,0,1,1,0,0,0
45818,0,0,0,0,0,0,0,18
47051,13,3,0,4,20,0,9,19,1,0,1,1,0,0,0
47051,0,0,0,0,0,0,0,19
47455,13,3,0,4,20,0,10,19,1,0,1,1,0,0,0
47455,0,0,0,0,0,0,0,19
47695,13,3,0,11,13,0,11,19,1,0,1,1,0,0,0
47695,0,0,0,0,0,0,0,19
48082,13,3,0,11,13,0,12,19,1,0,1,1,0,0,0
48082,0,0,0,0,0,0,0,19
48322,13,3,0,11,13,0,13,19,1,0,1,1,0,0,0
48322,0,0,0,0,0,0,0,19
49373,13,3,0,11,13,0,13,20,1,0,1,1,0,0,0
49373,0,0,0,0,0,0,0,20
59322,13,3,0,7,17,0,11,23,1,0,1,1,0,0,0
