time,full_resource,free_resource,pending_num,running_num,submit_num,ce
17040,128,127,3,1,0,0.0078125
17280,128,128,4,0,0,0.0
17520,128,127,3,1,0,0.0078125
17760,128,128,5,0,1,0.0
18000,128,127,4,1,0,0.0078125
18240,128,128,5,0,0,0.0
18480,128,127,4,1,0,0.0078125
18720,128,128,5,0,0,0.0
18960,128,127,4,1,0,0.0078125
19200,128,127,5,1,1,0.0078125
19440,128,126,4,2,0,0.015625
19680,128,127,5,1,0,0.0078125
19920,128,126,4,2,0,0.015625
20160,128,128,5,0,0,0.0
20400,128,127,5,1,1,0.0078125
20640,128,125,4,3,1,0.0234375
20880,128,126,5,2,0,0.015625
21120,128,125,4,3,0,0.0234375
21360,128,127,5,1,0,0.0078125
21600,128,126,5,2,1,0.015625
21840,128,126,5,2,0,0.015625
22080,128,126,5,2,0,0.015625
22320,128,126,6,2,1,0.015625
22560,128,126,6,2,0,0.015625
22800,128,126,6,2,0,0.015625
23040,128,126,6,2,0,0.015625
23280,128,126,6,2,0,0.015625
23520,128,126,6,2,0,0.015625
23760,128,126,6,2,0,0.015625
24000,128,126,5,2,0,0.015625
24240,128,127,7,1,1,0.0078125
24480,128,126,6,2,0,0.015625
24720,128,127,7,1,0,0.0078125
24960,128,126,6,2,0,0.015625
25200,128,127,7,1,0,0.0078125
25440,128,126,6,2,0,0.015625
25680,128,127,7,1,0,0.0078125
25920,128,126,6,2,0,0.015625
26160,128,127,7,1,0,0.0078125
26400,128,126,5,2,0,0.015625
26640,128,128,7,0,0,0.0
26880,128,125,4,3,0,0.0234375
27120,128,128,7,0,0,0.0
27360,128,125,4,3,0,0.0234375
27600,128,128,7,0,0,0.0
27840,128,125,4,3,0,0.0234375
28080,128,128,7,0,0,0.0
28320,128,125,4,3,0,0.0234375
28560,128,128,6,0,0,0.0
28800,128,126,4,2,0,0.015625
29040,128,128,6,0,0,0.0
29280,128,126,4,2,0,0.015625
29520,128,120,5,1,0,0.029885994311267886
29760,128,126,4,2,0,0.015625
30000,128,120,5,1,0,0.029885994311267886
30240,128,126,4,2,0,0.015625
30480,128,120,5,1,0,0.029885994311267886
30720,128,126,4,2,0,0.015625
30960,128,120,5,1,0,0.029885994311267886
31200,128,126,4,2,0,0.015625
31440,128,120,5,1,0,0.029885994311267886
31680,128,126,4,2,0,0.015625
31920,128,120,5,1,0,0.029885994311267886
32160,128,126,5,2,1,0.015625
32400,128,120,6,1,0,0.029885994311267886
32640,128,126,5,2,0,0.015625
32880,128,120,5,1,0,0.029885994311267886
33120,128,127,5,1,0,0.0078125
33360,128,120,5,1,0,0.029885994311267886
33600,128,127,5,1,0,0.0078125
33840,128,120,5,1,0,0.029885994311267886
34080,128,127,5,1,0,0.0078125
34320,128,120,5,1,0,0.029885994311267886
34560,128,127,5,1,0,0.0078125
34800,128,120,5,1,0,0.029885994311267886
35040,128,127,5,1,0,0.0078125
35280,128,120,5,1,0,0.029885994311267886
35520,128,127,5,1,0,0.0078125
35760,128,119,4,2,0,0.037698494311267886
36000,128,127,5,1,0,0.0078125
36240,128,119,4,2,0,0.037698494311267886
36480,128,127,5,1,0,0.0078125
36720,128,119,5,2,1,0.037698494311267886
36960,128,127,6,1,0,0.0078125
37200,128,119,5,2,0,0.037698494311267886
37440,128,127,6,1,0,0.0078125
37680,128,119,5,2,0,0.037698494311267886
37920,128,127,7,1,1,0.0078125
38160,128,119,6,2,0,0.037698494311267886
38400,128,127,7,1,0,0.0078125
38640,128,119,7,2,1,0.037698494311267886
38880,128,126,7,2,0,0.015625
39120,128,119,9,2,2,0.037698494311267886
39360,128,126,10,2,1,0.015625
39600,128,118,8,3,0,0.045510994311267886
39840,128,126,9,2,0,0.015625
40080,128,118,8,3,1,0.045510994311267886
40320,128,127,10,1,0,0.0078125
40560,128,118,8,3,0,0.045510994311267886
40800,128,127,11,1,1,0.0078125
41040,128,118,9,3,0,0.045510994311267886
41280,128,127,10,1,0,0.0078125
41520,128,119,10,2,1,0.037698494311267886
41760,128,125,10,2,0,0.02227357040014569
42000,128,119,9,2,0,0.037698494311267886
42240,128,126,10,1,0,0.01446107040014569
42480,128,118,8,3,0,0.045510994311267886
42720,128,126,10,1,0,0.01446107040014569
42960,128,118,8,3,0,0.045510994311267886
43200,128,126,10,1,0,0.01446107040014569
43440,128,118,8,3,0,0.045510994311267886
43680,128,126,10,1,0,0.01446107040014569
43920,128,118,8,3,0,0.045510994311267886
44160,128,126,9,1,0,0.01446107040014569
44400,128,126,8,2,0,0.015625
44640,128,126,9,1,0,0.01446107040014569
44880,128,126,9,2,1,0.015625
45120,128,126,9,1,0,0.01446107040014569
45360,128,127,9,1,0,0.0078125
45600,128,126,9,1,0,0.01446107040014569
45840,128,123,9,2,1,0.03346204236407535
46080,128,125,9,2,0,0.02227357040014569
46320,128,123,8,2,0,0.03346204236407535
46560,128,127,9,1,0,0.0078125
46800,128,123,8,2,0,0.03346204236407535
47040,128,126,8,2,0,0.015625
47280,128,123,8,2,1,0.03346204236407535
47520,128,127,11,1,2,0.0078125
47760,128,122,9,3,0,0.04127454236407535
48000,128,126,10,2,0,0.015625
48240,128,122,10,3,1,0.04127454236407535
48480,128,118,11,3,1,0.04547579212248156
48720,128,114,10,4,0,0.07112533448655692
48960,128,118,10,3,0,0.04547579212248156
49200,128,115,10,3,0,0.06331283448655692
49440,128,126,11,2,1,0.015625
49680,128,123,11,2,0,0.03346204236407535
49920,128,125,10,3,0,0.0234375
50160,128,123,11,2,0,0.03346204236407535
50400,128,125,10,3,0,0.0234375
50640,128,123,11,2,0,0.03346204236407535
50880,128,125,10,3,0,0.0234375
51120,128,123,11,2,0,0.03346204236407535
51360,128,125,10,3,0,0.0234375
51600,128,123,11,2,0,0.03346204236407535
51840,128,125,10,3,0,0.0234375
52080,128,123,11,2,0,0.03346204236407535
52320,128,117,9,4,0,0.06383685402479422
52560,128,123,11,2,0,0.03346204236407535
52800,128,117,9,4,0,0.06383685402479422
53040,128,123,11,2,0,0.03346204236407535
53280,128,117,9,4,0,0.06383685402479422
53520,128,123,11,2,0,0.03346204236407535
53760,128,117,9,4,0,0.06383685402479422
54000,128,123,11,2,0,0.03346204236407535
54240,128,117,9,4,0,0.06383685402479422
54480,128,123,11,2,0,0.03346204236407535
54720,128,117,9,4,0,0.06383685402479422
54960,128,123,11,2,0,0.03346204236407535
55200,128,117,9,4,0,0.06383685402479422
55440,128,123,11,2,0,0.03346204236407535
55680,128,117,9,4,0,0.06383685402479422
55920,128,123,11,2,0,0.03346204236407535
56160,128,117,9,4,0,0.06383685402479422
56400,128,123,11,2,0,0.03346204236407535
56640,128,117,9,4,0,0.06383685402479422
56880,128,123,11,2,0,0.03346204236407535
57120,128,117,9,4,0,0.06383685402479422
57360,128,123,11,2,0,0.03346204236407535
57600,128,117,8,4,0,0.06383685402479422
57840,128,124,11,1,0,0.02564954236407535
58080,128,117,8,4,0,0.06383685402479422
58320,128,124,11,1,0,0.02564954236407535
58560,128,117,8,4,0,0.06383685402479422
58800,128,124,11,1,0,0.02564954236407535
59040,128,117,8,4,0,0.06383685402479422
59280,128,124,11,1,0,0.02564954236407535
59520,128,117,8,4,1,0.06383685402479422
59760,128,127,11,1,0,0.0078125
60000,128,117,8,4,0,0.06383685402479422
60240,128,127,11,1,0,0.0078125
60480,128,117,8,4,0,0.06383685402479422
60720,128,127,11,1,0,0.0078125
60960,128,117,8,4,0,0.06383685402479422
61200,128,126,11,2,1,0.015625
61440,128,116,9,5,1,0.07164935402479422
61680,128,126,11,2,0,0.015625
61920,128,117,9,4,0,0.06383685402479422
62160,128,126,11,2,0,0.015625
62400,128,118,9,3,0,0.056024354024794214
62640,128,127,11,1,0,0.0078125
62880,128,117,8,4,0,0.06383685402479422
63120,128,127,11,1,0,0.0078125
63360,128,117,8,4,0,0.06383685402479422
63600,128,127,11,1,0,0.0078125
63840,128,117,8,4,0,0.06383685402479422
64080,128,127,11,1,0,0.0078125
64320,128,109,7,5,0,0.08811511658387305
64560,128,127,11,1,0,0.0078125
64800,128,109,8,5,1,0.08811511658387305
65040,128,127,12,1,0,0.0078125
65280,128,109,8,5,0,0.08811511658387305
65520,128,127,12,1,0,0.0078125
65760,128,109,8,5,0,0.08811511658387305
66000,128,127,12,1,0,0.0078125
66240,128,109,8,5,0,0.08811511658387305
66480,128,127,12,1,0,0.0078125
66720,128,109,8,5,0,0.08811511658387305
66960,128,127,12,1,0,0.0078125
67200,128,105,8,6,1,0.10658345026824237
67440,128,123,12,2,0,0.02628083368436931
67680,128,105,8,6,0,0.10658345026824237
67920,128,127,12,1,0,0.0078125
68160,128,109,8,5,0,0.08811511658387305
68400,128,127,12,1,0,0.0078125
68640,128,109,8,5,0,0.08811511658387305
68880,128,127,12,1,0,0.0078125
69120,128,109,9,5,1,0.08811511658387305
69360,128,127,13,1,0,0.0078125
69600,128,107,8,6,0,0.10088425842104704
69840,128,127,13,1,0,0.0078125
70080,128,107,8,6,0,0.10088425842104704
70320,128,127,13,1,0,0.0078125
70560,128,107,8,6,0,0.10088425842104704
70800,128,127,13,1,0,0.0078125
71040,128,107,8,6,0,0.10088425842104704
71280,128,127,12,1,0,0.0078125
71520,128,109,8,5,0,0.08811511658387305
71760,128,127,12,1,0,0.0078125
72000,128,109,8,5,0,0.08811511658387305
72240,128,127,11,1,0,0.0078125
72480,128,110,8,4,0,0.08030261658387305
72720,128,126,10,2,1,0.015625
72960,128,118,9,3,0,0.056024354024794214
73200,128,125,9,3,0,0.0234375
73440,128,118,9,3,0,0.056024354024794214
73680,128,125,9,3,0,0.0234375
73920,128,118,9,3,0,0.056024354024794214
74160,128,125,9,3,0,0.0234375
74400,128,118,9,3,0,0.056024354024794214
74640,128,125,8,3,0,0.0234375
74880,128,119,10,2,1,0.048211854024794214
75120,128,125,9,3,0,0.0234375
75360,128,119,10,2,0,0.048211854024794214
75600,128,125,9,3,0,0.0234375
75840,128,119,10,2,0,0.048211854024794214
76080,128,125,9,3,0,0.0234375
76320,128,119,10,2,0,0.048211854024794214
76560,128,125,9,3,0,0.0234375
76800,128,119,10,2,0,0.048211854024794214
77040,128,125,9,3,0,0.0234375
77280,128,118,10,3,1,0.056024354024794214
77520,128,124,9,4,0,0.03125
77760,128,117,10,4,1,0.06383685402479422
78000,128,123,9,5,0,0.0390625
78240,128,118,10,3,0,0.056024354024794214
78480,128,125,9,3,0,0.0234375
78720,128,119,10,2,0,0.048211854024794214
78960,128,125,9,3,0,0.0234375
79200,128,119,10,2,0,0.048211854024794214
79440,128,125,9,3,0,0.0234375
79680,128,119,10,2,0,0.048211854024794214
79920,128,125,9,3,0,0.0234375
80160,128,119,10,2,0,0.048211854024794214
80400,128,125,9,3,0,0.0234375
80640,128,119,10,2,0,0.048211854024794214
80880,128,125,9,3,0,0.0234375
81120,128,119,10,2,0,0.048211854024794214
81360,128,125,9,3,0,0.0234375
81600,128,119,10,2,0,0.048211854024794214
81840,128,125,9,3,0,0.0234375
82080,128,118,9,3,0,0.056024354024794214
82320,128,125,9,3,0,0.0234375
82560,128,118,9,3,0,0.056024354024794214
82800,128,125,9,3,0,0.0234375
83040,128,118,9,3,0,0.056024354024794214
83280,128,125,9,3,0,0.0234375
83520,128,118,9,3,0,0.056024354024794214
83760,128,125,10,3,1,0.0234375
84000,128,118,10,3,0,0.056024354024794214
84240,128,125,10,3,0,0.0234375
84480,128,117,9,4,0,0.06383685402479422
84720,128,125,10,3,0,0.0234375
84960,128,117,9,4,0,0.06383685402479422
85200,128,125,10,3,0,0.0234375
85440,128,117,9,4,0,0.06383685402479422
85680,128,125,10,3,0,0.0234375
85920,128,117,9,4,0,0.06383685402479422
86160,128,125,10,3,0,0.0234375
86400,128,117,9,4,0,0.06383685402479422
86640,128,125,10,3,0,0.0234375
86880,128,117,9,4,0,0.06383685402479422
87120,128,125,9,3,0,0.0234375
87360,128,118,9,3,0,0.056024354024794214
87600,128,125,9,3,0,0.0234375
87840,128,118,9,3,0,0.056024354024794214
88080,128,125,9,3,0,0.0234375
88320,128,118,9,3,0,0.056024354024794214
88560,128,125,9,3,0,0.0234375
88800,128,117,9,4,1,0.06383685402479422
89040,128,124,10,4,1,0.03125
89280,128,117,10,4,0,0.06383685402479422
89520,128,124,10,4,0,0.03125
89760,128,117,10,4,0,0.06383685402479422
90000,128,125,10,3,0,0.0234375
90240,128,118,10,3,0,0.056024354024794214
90480,128,125,10,3,0,0.0234375
90720,128,118,10,3,0,0.056024354024794214
90960,128,125,10,3,0,0.0234375
91200,128,118,11,3,1,0.056024354024794214
91440,128,125,11,3,0,0.0234375
91680,128,118,11,3,0,0.056024354024794214
91920,128,125,11,3,0,0.0234375
92160,128,118,11,3,0,0.056024354024794214
92400,128,125,11,3,0,0.0234375
92640,128,118,11,3,0,0.056024354024794214
92880,128,125,12,3,1,0.0234375
93120,128,118,12,3,0,0.056024354024794214
93360,128,124,11,4,0,0.03125
93600,128,118,12,3,0,0.056024354024794214
93840,128,124,12,4,1,0.03125
94080,128,118,13,3,0,0.056024354024794214
94320,128,124,12,4,0,0.03125
94560,128,118,13,3,0,0.056024354024794214
94800,128,124,12,4,0,0.03125
95040,128,117,13,4,1,0.06383685402479422
95280,128,124,13,4,0,0.03125
95520,128,117,12,4,0,0.06383685402479422
95760,128,125,13,3,0,0.0234375
96000,128,117,13,4,1,0.06383685402479422
96240,128,125,14,3,0,0.0234375
96480,128,116,12,5,0,0.07164935402479422
96720,128,125,14,3,0,0.0234375
96960,128,116,12,5,0,0.07164935402479422
97200,128,124,13,4,0,0.03125
97440,128,116,12,5,0,0.07164935402479422
97680,128,123,12,5,0,0.0390625
97920,128,116,12,5,0,0.07164935402479422
98160,128,123,12,5,0,0.0390625
98400,128,116,12,5,0,0.07164935402479422
98640,128,123,11,5,0,0.0390625
98880,128,117,12,4,0,0.06383685402479422
99120,128,123,11,5,0,0.0390625
99360,128,117,12,4,0,0.06383685402479422
99600,128,123,11,5,0,0.0390625
99840,128,117,13,4,1,0.06383685402479422
100080,128,123,12,5,0,0.0390625
100320,128,117,13,4,0,0.06383685402479422
100560,128,123,12,5,0,0.0390625
100800,128,117,13,4,0,0.06383685402479422
101040,128,122,10,6,1,0.046875
101280,128,119,14,2,0,0.048211854024794214
101520,128,122,10,6,0,0.046875
101760,128,119,14,2,0,0.048211854024794214
102000,128,122,10,6,0,0.046875
102240,128,119,14,2,0,0.048211854024794214
102480,128,122,10,6,0,0.046875
102720,128,118,12,3,0,0.056024354024794214
102960,128,123,10,5,0,0.0390625
103200,128,118,12,3,0,0.056024354024794214
103440,128,122,9,6,0,0.046875
103680,128,118,13,3,1,0.056024354024794214
103920,128,106,9,7,0,0.1219383944202393
104160,128,118,13,3,0,0.056024354024794214
104400,128,106,10,7,1,0.1219383944202393
104640,128,118,14,3,0,0.056024354024794214
104880,128,106,10,7,0,0.1219383944202393
105120,128,118,14,3,0,0.056024354024794214
105360,128,106,10,7,0,0.1219383944202393
105600,128,118,12,3,0,0.056024354024794214
105840,128,123,10,5,0,0.0390625
106080,128,118,12,3,0,0.056024354024794214
106320,128,123,10,5,0,0.0390625
106560,128,118,12,3,0,0.056024354024794214
106800,128,123,10,5,0,0.0390625
107040,128,118,12,3,0,0.056024354024794214
107280,128,123,10,5,0,0.0390625
107520,128,117,12,4,1,0.06383685402479422
107760,128,122,10,6,0,0.046875
108000,128,117,12,4,0,0.06383685402479422
108240,128,123,10,5,0,0.0390625
108480,128,118,12,3,0,0.056024354024794214
108720,128,123,10,5,0,0.0390625
108960,128,118,12,3,0,0.056024354024794214
109200,128,123,10,5,0,0.0390625
109440,128,118,12,3,0,0.056024354024794214
109680,128,123,10,5,0,0.0390625
109920,128,118,12,3,0,0.056024354024794214
110160,128,123,10,5,0,0.0390625
110400,128,118,12,3,0,0.056024354024794214
110640,128,123,10,5,0,0.0390625
110880,128,118,12,3,1,0.056024354024794214
111120,128,124,11,4,0,0.03125
111360,128,118,12,3,0,0.056024354024794214
111600,128,124,11,4,0,0.03125
111840,128,118,13,3,1,0.056024354024794214
112080,128,124,12,4,0,0.03125
112320,128,117,12,4,0,0.06383685402479422
112560,128,124,12,4,0,0.03125
112800,128,117,12,4,0,0.06383685402479422
113040,128,123,12,5,1,0.0390625
113280,128,116,12,5,0,0.07164935402479422
113520,128,122,11,6,0,0.046875
113760,128,116,11,5,0,0.07164935402479422
114000,128,124,11,4,0,0.03125
114240,128,117,11,4,0,0.06383685402479422
114480,128,124,11,4,0,0.03125
114720,128,117,11,4,0,0.06383685402479422
114960,128,124,11,4,0,0.03125
115200,128,117,11,4,0,0.06383685402479422
115440,128,124,11,4,0,0.03125
115680,128,117,11,4,0,0.06383685402479422
115920,128,124,11,4,0,0.03125
116160,128,117,11,4,0,0.06383685402479422
116400,128,124,11,4,0,0.03125
116640,128,117,11,4,0,0.06383685402479422
116880,128,124,11,4,1,0.03125
117120,128,118,12,3,0,0.056024354024794214
117360,128,124,11,4,0,0.03125
117600,128,118,12,3,0,0.056024354024794214
117840,128,123,10,5,0,0.0390625
118080,128,118,12,3,0,0.056024354024794214
118320,128,123,10,5,0,0.0390625
118560,128,118,11,3,0,0.056024354024794214
118800,128,124,11,4,1,0.03125
119040,128,118,12,3,0,0.056024354024794214
119280,128,123,10,5,0,0.0390625
119520,128,118,12,3,0,0.056024354024794214
119760,128,123,11,5,1,0.0390625
120000,128,118,13,3,0,0.056024354024794214
120240,128,122,11,6,1,0.046875
120480,128,116,12,5,0,0.07164935402479422
120720,128,122,12,6,1,0.046875
120960,128,116,12,5,0,0.07164935402479422
121200,128,124,12,4,0,0.03125
121440,128,117,11,4,0,0.06383685402479422
121680,128,125,12,3,0,0.0234375
121920,128,117,11,4,0,0.06383685402479422
122160,128,125,12,3,0,0.0234375
122400,128,116,10,5,0,0.07164935402479422
122640,128,125,13,3,1,0.0234375
122880,128,116,12,5,1,0.07164935402479422
123120,128,124,13,4,0,0.03125
123360,128,115,11,6,0,0.07946185402479422
123600,128,124,13,4,0,0.03125
123840,128,115,11,6,0,0.07946185402479422
124080,128,124,13,4,0,0.03125
124320,128,115,11,6,0,0.07946185402479422
124560,128,124,13,4,0,0.03125
124800,128,115,10,6,0,0.07946185402479422
125040,128,125,13,3,0,0.0234375
125280,128,115,10,6,0,0.07946185402479422
125520,128,125,13,3,0,0.0234375
125760,128,115,10,6,0,0.07946185402479422
126000,128,125,13,3,0,0.0234375
126240,128,115,10,6,0,0.07946185402479422
126480,128,125,13,3,1,0.0234375
126720,128,115,10,6,0,0.07946185402479422
126960,128,117,13,4,1,0.0434300606721825
127200,128,115,11,6,0,0.07946185402479422
127440,128,117,13,4,0,0.0434300606721825
127680,128,115,11,6,0,0.07946185402479422
127920,128,117,13,4,0,0.0434300606721825
128160,128,115,11,6,0,0.07946185402479422
128400,128,116,11,5,0,0.0512425606721825
128640,128,116,11,5,0,0.07164935402479422
128880,128,116,11,5,0,0.0512425606721825
129120,128,116,11,5,0,0.07164935402479422
129360,128,116,11,5,0,0.0512425606721825
129600,128,116,11,5,0,0.07164935402479422
129840,128,116,11,5,0,0.0512425606721825
130080,128,116,11,5,0,0.07164935402479422
130320,128,116,10,5,0,0.0512425606721825
130560,128,117,12,4,1,0.06383685402479422
130800,128,116,11,5,0,0.0512425606721825
131040,128,115,11,6,1,0.07946185402479422
131280,128,115,11,6,0,0.0590550606721825
131520,128,115,11,6,0,0.07946185402479422
131760,128,116,11,5,0,0.0512425606721825
132000,128,116,11,5,0,0.07164935402479422
132240,128,116,11,5,0,0.0512425606721825
132480,128,116,11,5,0,0.07164935402479422
132720,128,116,11,5,0,0.0512425606721825
132960,128,116,10,5,0,0.07164935402479422
133200,128,117,10,4,0,0.0434300606721825
133440,128,117,10,4,0,0.06383685402479422
133680,128,117,10,4,0,0.0434300606721825
133920,128,117,10,4,0,0.06383685402479422
134160,128,117,10,4,0,0.0434300606721825
134400,128,117,10,4,0,0.06383685402479422
134640,128,117,10,4,0,0.0434300606721825
134880,128,117,10,4,0,0.06383685402479422
135120,128,117,10,4,0,0.0434300606721825
135360,128,117,10,4,0,0.06383685402479422
135600,128,117,10,4,0,0.0434300606721825
135840,128,117,11,4,1,0.06383685402479422
136080,128,117,11,4,0,0.0434300606721825
136320,128,117,11,4,0,0.06383685402479422
136560,128,117,11,4,0,0.0434300606721825
136800,128,117,11,4,0,0.06383685402479422
137040,128,117,11,4,0,0.0434300606721825
137280,128,117,11,4,0,0.06383685402479422
137520,128,117,11,4,0,0.0434300606721825
137760,128,117,12,4,1,0.06383685402479422
138000,128,116,11,5,0,0.0512425606721825
138240,128,117,12,4,0,0.06383685402479422
138480,128,116,11,5,0,0.0512425606721825
138720,128,116,12,5,1,0.07164935402479422
138960,128,116,12,5,0,0.0512425606721825
139200,128,116,11,5,0,0.07164935402479422
139440,128,117,12,4,0,0.0434300606721825
139680,128,116,11,5,0,0.07164935402479422
139920,128,117,13,4,1,0.0434300606721825
140160,128,116,12,5,0,0.07164935402479422
140400,128,117,13,4,0,0.0434300606721825
140640,128,115,11,6,0,0.07946185402479422
140880,128,117,13,4,0,0.0434300606721825
141120,128,115,11,6,0,0.07946185402479422
141360,128,117,14,4,1,0.0434300606721825
141600,128,114,11,7,0,0.08727435402479422
141840,128,117,14,4,0,0.0434300606721825
142080,128,114,11,7,0,0.08727435402479422
142320,128,117,13,4,0,0.0434300606721825
142560,128,115,11,6,0,0.07946185402479422
142800,128,117,14,4,1,0.0434300606721825
143040,128,114,11,7,0,0.08727435402479422
143280,128,109,13,5,1,0.057758107835801334
143520,128,115,11,6,0,0.07946185402479422
143760,128,117,14,4,1,0.03776554716361884
144000,128,115,12,6,0,0.07946185402479422
144240,128,117,14,4,0,0.03776554716361884
144480,128,115,12,6,0,0.07946185402479422
144720,128,117,15,4,1,0.03776554716361884
144960,128,115,12,6,0,0.07946185402479422
145200,128,125,15,3,0,0.0234375
145440,128,115,12,6,0,0.07946185402479422
145680,128,125,15,3,0,0.0234375
145920,128,115,12,6,0,0.07946185402479422
146160,128,125,13,3,0,0.0234375
146400,128,117,12,4,0,0.06383685402479422
146640,128,117,12,4,0,0.0434300606721825
146880,128,117,12,4,0,0.06383685402479422
147120,128,117,12,4,0,0.0434300606721825
147360,128,117,12,4,0,0.06383685402479422
147600,128,117,12,4,0,0.0434300606721825
147840,128,117,12,4,0,0.06383685402479422
148080,128,117,12,4,0,0.0434300606721825
148320,128,117,12,4,0,0.06383685402479422
148560,128,117,12,4,0,0.0434300606721825
148800,128,117,13,4,1,0.06383685402479422
149040,128,117,13,4,0,0.0434300606721825
149280,128,117,13,4,0,0.06383685402479422
149520,128,116,12,5,0,0.0512425606721825
149760,128,117,13,4,0,0.06383685402479422
150000,128,116,12,5,0,0.0512425606721825
150240,128,116,13,5,1,0.07164935402479422
150480,128,107,12,7,1,0.08894105498345038
150720,128,108,13,6,0,0.1015353483360621
150960,128,107,11,7,0,0.08894105498345038
151200,128,117,13,4,0,0.053323494311267886
151440,128,108,11,6,0,0.08112855498345038
151680,128,125,13,3,0,0.0234375
151920,128,116,11,5,0,0.0512425606721825
152160,128,125,12,3,0,0.0234375
152400,128,124,11,4,0,0.03125
152640,128,125,12,3,0,0.0234375
152880,128,124,12,4,1,0.03125
153120,128,125,13,3,0,0.0234375
153360,128,124,12,4,0,0.03125
153600,128,125,13,3,0,0.0234375
153840,128,124,12,4,0,0.03125
154080,128,125,13,3,0,0.0234375
154320,128,124,12,4,0,0.03125
154560,128,125,13,3,0,0.0234375
154800,128,124,12,4,0,0.03125
155040,128,124,13,4,1,0.03125
155280,128,123,12,5,0,0.0390625
155520,128,124,13,4,0,0.03125
155760,128,122,11,6,0,0.046875
156000,128,124,13,4,0,0.03125
156240,128,122,11,6,0,0.046875
156480,128,124,13,4,0,0.03125
156720,128,122,10,6,0,0.046875
156960,128,125,12,3,0,0.0234375
157200,128,123,10,5,0,0.0390625
157440,128,125,12,3,0,0.0234375
157680,128,123,10,5,0,0.0390625
157920,128,125,12,3,0,0.0234375
158160,128,123,10,5,0,0.0390625
158400,128,125,12,3,1,0.0234375
158640,128,124,11,4,0,0.03125
158880,128,125,13,3,1,0.0234375
159120,128,124,12,4,0,0.03125
159360,128,125,13,3,0,0.0234375
159600,128,124,12,4,0,0.03125
159840,128,125,13,3,0,0.0234375
160080,128,124,12,4,0,0.03125
160320,128,125,13,3,0,0.0234375
160560,128,124,12,4,0,0.03125
160800,128,125,14,3,1,0.0234375
161040,128,123,13,5,1,0.0390625
161280,128,123,13,5,0,0.0390625
161520,128,123,13,5,0,0.0390625
161760,128,123,13,5,0,0.0390625
162000,128,123,13,5,0,0.0390625
162240,128,123,13,5,0,0.0390625
162480,128,123,14,5,1,0.0390625
162720,128,124,14,4,0,0.03125
162960,128,124,14,4,1,0.03125
163200,128,124,14,4,0,0.03125
163440,128,124,15,4,1,0.03125
163680,128,123,14,5,0,0.0390625
163920,128,124,15,4,0,0.03125
164160,128,123,14,5,0,0.0390625
164400,128,124,15,4,0,0.03125
164640,128,123,14,5,0,0.0390625
164880,128,124,15,4,0,0.03125
165120,128,123,14,5,0,0.0390625
165360,128,124,15,4,0,0.03125
165600,128,123,14,5,0,0.0390625
165840,128,124,14,4,0,0.03125
