time,ddl_satis_ratio,cluster_spec,trace_file,scheduler,scheme
20221014-17-35-41,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,dlas-gpu,elastic
20221014-17-37-41,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,dlas-gpu,elastic
20221014-18-43-29,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,dlas-gpu,elastic
20221014-19-00-31,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,dlas-gpu,elastic
20221014-21-51-07,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,dlas-gpu,elastic
