time,ddl_satis_ratio,cluster_spec,trace_file,scheduler,scheme
20221014-17-35-44,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,ef-accessctrl,elastic
20221014-17-37-44,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,ef-accessctrl,elastic
20221014-18-43-32,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,ef-accessctrl,elastic
20221014-19-00-34,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,ef-accessctrl,elastic
20221014-21-51-10,1.0,cluster_specs/n16g8.csv,../traces_for_ElasticFlow/100jobs_1500lam.csv,ef-accessctrl,elastic
